title,url,text,dead,by,score,time,timestamp,type,id,parent,descendants,ranking,deleted
,,"<a href=""https:&#x2F;&#x2F;www.reuters.com&#x2F;business&#x2F;healthcare-pharmaceuticals&#x2F;eli-lilly-ordered-pay-1765-mln-teva-us-migraine-drug-patent-trial-2022-11-09&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.reuters.com&#x2F;business&#x2F;healthcare-pharmaceuticals&#x2F;...</a><p>Ads may have gone down for a number of factors, may also include the fact that Twitter is not really in a place that is good for advertising due to enormous amounts of hostile users<p>The &quot;damaging tweet&quot; in question was gone long before the stock would&#x27;ve been in a reasonable timeframe to &quot;react&quot; to it.",,latency-guy2,,1668494834,2022-11-15 06:47:14 UTC,comment,33606057,33604718,,,
,,"What country are you in? How do you fund your PayPal account?<p>If you don’t want a credit card because you don’t want debt, what you likely want is a debit card. Most banks issue it for free.<p>If you are in the UK, make sure to tell your bank to set your overdraft to zero.<p>If you are in the US, keep in mind that you are not building credit by choosing to never use a credit card (and yes I think it is stupid as well). I know there are zero-fee credit cards that can act as debit cards, I can find some recommendation if you like.<p>In the US, Privacy.com is also a cool issuer of virtual cards which may have features you are interested in.<p>If for some reason you don’t want a debit card either because you hate physical cards or something, know that Google Pay and Apple Pay also issue virtual cards on your behalf, and in some countries don’t need a card as payment method.<p>PS: All money is debt :)",,scrollaway,,1668494821,2022-11-15 06:47:01 UTC,comment,33606056,33605657,,,
,,"I think it depends on the circumstances what you should do. Such as whether the client has a real budget. Honestly for me it is relatively trivial to find clients with shoestring budgets versus adequate ones.<p>But ideally you set things up ahead of time by finding a client with a decent sized budget and then charging by the week. The billing increment is one week.<p>Then just make sure to have regular delivery or discussions as often as possible with the client. They should see the deliverables progressing, even if it&#x27;s just the architectural details being worked out at first. They should be judging based on useful things obviously happening and being explained or being able to use the next version rather than just looking at hours to try to guess whether they are getting a good deal or something.<p>For me, we will see how it goes. Right now I have a weekly billing client who I am a bit worried I will have to replace because things in this niche are so dead right now. But there were a few other projects I may be able to pick up. I am definitely going to try to find one that can afford a week or two though because realistically all of the projects have gone on for more than two weeks so far, generally speaking more like 2-8 weeks each.<p>When it&#x27;s going to almost certainly take a month to complete a project, trying to get out of an extra hour every day or something is a questionable strategy because it&#x27;s a significant investment anyway,  and the biggest risk really is most projects just not delivering usable software at all, which means all of that money gets wasted.",,ilaksh,,1668528860,2022-11-15 16:14:20 UTC,comment,33611055,33610147,,,
,,"I’ve been using Fedora since release ~30 on desktop and laptop, previously a Debian user for like 15 years.<p>I think it switched cause I wanted Wayland and more recent Gnome at the time. Everything more or less always seems to work without issue, I’ve done upgrades, swapped out hardware over the years and never had any show-stopping bugs.<p>More recently I became a package maintainer and it’s been an excellent process, from the documentation to the community. I used to be weary of RPM and the “dependency hell” but it’s not really a thing anymore.<p>I like picking the right tool for the job, and so far Fedora has worked out well in this regard, but Ubuntu, MacOS, Windows, etc all have their place.",,h4waii,,1668528856,2022-11-15 16:14:16 UTC,comment,33611054,33610843,,,
,,"If you want to understand you could have a look at any of the stories about Trump, about anything he&#x27;s been accused of over the years.  Take note of the difference in language used, the choice of words etc.<p>Well, that&#x27;s different, because in Trump&#x27;s case it was obvious he did it all.  After all, the NYT told us.  Or at least, they heavily implied it, even though nothing was proven. Waaaait a minute.",,MrPatan,,1668528872,2022-11-15 16:14:32 UTC,comment,33611059,33610210,,,
,,"I do think that we need to pick one or the other approach, and not mix them, as mixing them at engineer&#x27;s discretion just opens to unforeseeable outcomes, e.g. Engineer making the choice without understanding the implications or the code evolving to be sensitive from non-sensitive over time.",,gajus,,1668528866,2022-11-15 16:14:26 UTC,comment,33611058,33610814,,,
,,Neat!  Perhaps removing 2 letter words could make it a bit more challenging?<p>Seems every time I was in a pinch i could use a few different 2 letter words and the game got much easier.,,NickC25,,1668483161,2022-11-15 03:32:41 UTC,comment,33604919,33591112,,,
,,"Here: <a href=""https:&#x2F;&#x2F;truthout.org&#x2F;articles&#x2F;the-indisputable-role-of-credit-ratings-agencies-in-the-2008-collapse-and-why-nothing-has-changed&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;truthout.org&#x2F;articles&#x2F;the-indisputable-role-of-credi...</a><p>If you think this is not really happening, you are naive at best, complicit at worst.",,lake_vincent,,1668483103,2022-11-15 03:31:43 UTC,comment,33604912,33602975,,,
,,Can you please elaborate on what you mean by not treated the same as others?,,pas,,1668483110,2022-11-15 03:31:50 UTC,comment,33604913,33593662,,,
,,I remember being at the Hollywood Bowl in I believe 1998 and the consoles that are midway back with the audience in that little booth were all running BeOS.<p>They had their niche,,kristopolous,,1668483094,2022-11-15 03:31:34 UTC,comment,33604911,33604743,,,
,,"to cheaply support many small things, we have to place tremendous value on consistency at every level of ownership, limiting the number of skill sets and areas of knowledge that have to exist within our teams.",,ihaveabeardnow,,1668483139,2022-11-15 03:32:19 UTC,comment,33604917,33601658,,,
,,This is clickbait. Just because FAANG sees an opportunity to cut some dead weight with the convenient excuse of &quot;inflation&quot; doesn&#x27;t mean jobs are hard for find for competent engineers.,,yurishimo,,1668509825,2022-11-15 10:57:05 UTC,comment,33607702,33607394,,,
,,"I mean if you are Tutankhamun and have access to high-level wizards and priests: You have them cast Meteor Swarm at your enemies, collect the loot, and even make yourself a nice knife from a piece of the meteor as a shiny souvenir that you can wear to instill fear and respect.",,GistNoesis,,1668509851,2022-11-15 10:57:31 UTC,comment,33607703,33606147,,,
,,"Playing Genshin Impact in and of itself should not be your primary source of learning Chinese. However, playing Genshin Impact can be a good way to supplement your Chinese language. Playing Genshin Impact and other online video games is a popular way for Chinese heritage speakers and second-generation Chinese learners to improve their Chinese language.",,Linna26,,1668509808,2022-11-15 10:56:48 UTC,comment,33607701,33607700,,,
,,"&gt; yoke forward<p>&gt; throttle max<p>Scary stuff, this could work!",,porbelm,,1668509883,2022-11-15 10:58:03 UTC,comment,33607707,33607567,,,
,,Qualcomm Android phones use UEFI since the Snapdragon 835.<p>With an Android bootloader UEFI app on top to mimic what Android wants on top...,,my123,,1668509858,2022-11-15 10:57:38 UTC,comment,33607704,33607496,,,
,,"Both the New York Times and the Washington Post have by now admitted the legitimacy of the Hunter Biden laptop story (of course they waited for the election to be over before doing so). If you haven&#x27;t seen any proof, it&#x27;s because you haven&#x27;t looked.",,petchyindee,,1668509859,2022-11-15 10:57:39 UTC,comment,33607705,33607356,,,
,,"It is horrifying that we have to do those studies after mass distribution. Which proves experimental status of those mRNA vaccines.<p>Btw, those studies will be irrelevant and not trusted if will be made by same companies that pushing vaccines.",,t0bia_s,,1668509888,2022-11-15 10:58:08 UTC,comment,33607708,33594175,,,
,,"A reference to Excel 97 Easter egg I guess :) <a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=-gYb5GUs0dM"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=-gYb5GUs0dM</a>",,boudin,,1668509901,2022-11-15 10:58:21 UTC,comment,33607709,33607556,,,
,,"IIRC, the Hubble only happened because there was a spare spy satellite that could be converted into a tool for science.<p>That origin doesn&#x27;t mean Hubble <i>doesn&#x27;t</i> do science.",,ben_w,,1668497055,2022-11-15 07:24:15 UTC,comment,33606274,33606089,,,
,,"Germany and Russia were already immensely increasing their war production and military preparedness before 1940, throughout the 1930s. These amounts need to be taken into account when comparing to the UK, which really only started to take war production seriously as the war was pretty much starting. The lead time of the former was larger, and the dates above paint a skewed picture.<p>As for the USA, yes, holy shit, but it was also a country almost uniquely capable of achieving such a feat. Even more incredible is that it did that without even severely affecting the standard of living of its citizens, unlike the other countries, which all introduced very intense civil production rationing to pull off their more modest increases.<p>In the case of the USSR, fighting for its life and already an economy that barely focused on civil well-being, the doubling of war production and associated war expenses caused a gigantic famine in the immediate post-war years, while also causing massive suffering during the war years, and this aside from the brutalities introduced by the German invasion.",,helloworld11,,1668497070,2022-11-15 07:24:30 UTC,comment,33606276,33604764,,,
,,"Of course, if you do warehouse products, and then try to take advantage of a squeeze, then you may get accused of price gouging.",,bertjk,,1668497033,2022-11-15 07:23:53 UTC,comment,33606271,33605171,,,
,,Those scooters were destined to be e-waste the minute the corporation was formed.,,midislack,,1668497022,2022-11-15 07:23:42 UTC,comment,33606270,33605179,,,
,,"&gt; You shouldn&#x27;t need it if everything else goes perfectly, but it doesn&#x27;t hurt to have it.<p>That&#x27;s not how I see it. Computers react faster than humans even setting aside the mechanical delay of lifting your foot, moving it, and pressing it down again.<p>It&#x27;s more like running a linter on your code. 99.99% of the time it isn&#x27;t necessary and you already knew what it was going to say, but the one time it does catch something important it&#x27;s a life saver.",,grog454,,1668528753,2022-11-15 16:12:33 UTC,comment,33611018,33610090,,,
,,"This is an interesting point. The Subaru&#x27;s adaptive cruise control system treats a &quot;car length&quot; as a fairly large unit of measurement. One car length seems to be the literal length of the vehicle, plus some reasonable amount of buffer on both ends. Probably twice as large as the vehicle itself. And the faster you&#x27;re going, the larger a single car length becomes. Infinite nuance :P<p>But in general, very good commentary on systems that provide useful feedback for the human operator versus ones that don&#x27;t. ACC makes it clear what a car length should be, and if you&#x27;re paying attention you can gauge how much more space it leaves when you&#x27;re moving fast. So that&#x27;s what I go by.",,branon,,1668528736,2022-11-15 16:12:16 UTC,comment,33611013,33610956,,,
,,I think it’s easier to get away with when it’s not formally endorsed,,philosopher1234,,1668528787,2022-11-15 16:13:07 UTC,comment,33611033,33610518,,,
,,"Yup, the fact it chimes in at a lower confidence reduces the negative effects of any false positive. It needs to be very confident to start applying braking, but it also primes your brakes before that so if you slam on the brakes from the chime it gets them to 100% instantly.",,ezfe,,1668528782,2022-11-15 16:13:02 UTC,comment,33611030,33610312,,,
,,"There are worse situations.<p>Government-run, &quot;socialized&quot; health care (especially with unionized staff) is one example.<p>As a monopoly, government has no financial or other incentives to provide efficient and quality service. If more money is needed&#x2F;wanted, it&#x27;s simply taken from taxpayers.<p>Even worse, there are no real consequences or accountability for poor performance from any of the participants involved.<p>We end up with bloated health care organizations that deliver slow and ineffective treatment at a massive cost to society at large.<p>If the government-run health care system employees are unionized, it&#x27;s even worse. The unions involved will effectively become political entities, doing everything in their power to block or impede any kind of meaningful reform or optimization of a broken (but beneficial to them) health care system.<p>It gets even worse when the government-run health care system, despite imposing a massive tax burden on taxpayers, doesn&#x27;t even cover common procedures or treatments (dental, vision, prescriptions, and so on). So those already paying into this &quot;socialized&quot; system often end up needing some sort of costly private insurance, often offered through an employer, or they have to pay out-of-pocket.<p>What&#x27;s described above is what we find with the various provincial government-run health care systems in Canada.<p>Canadian patients who can afford to do so will usually seek treatment at a private provider in the US or elsewhere. It may be expensive, but at least those patients tend to get effective treatment in a timely manner, which is something that&#x27;s extremely rare with Canada&#x27;s various &quot;socialized&quot; health care systems.",,VancouverMan,,1668528795,2022-11-15 16:13:15 UTC,comment,33611037,33609584,,,
,,"Different wrapper for the same underlying techniques. Might be good to write some papers, but in my opinion, very unlikely to have any impact in practice.",,smartyboi,,1668528795,2022-11-15 16:13:15 UTC,comment,33611036,33609082,,,
,,"An investment is when you have a reasonable expectation of return.  Bonds are an investment because the average bond pays out more than it costs.  The same is true of the average share.  That is because these instruments produce value by making capital available to people who need it.<p>By this definition, BTC is NOT an investment.  Neither is Gold or land (unless you rent it) or commodities.  Buying those things is just &quot;speculation&quot;.  Speculating is fine.  It can be useful for the market.  You might even make money.<p>But please please, stop reffering to these things as &quot;investments&quot;.  They&#x27;re not investments any more than my buying a hamburger.",,LatteLazy,,1668528788,2022-11-15 16:13:08 UTC,comment,33611034,33610476,,,
,,"a16z invests in a lot of coins and a lot of startups.  Most of them fail, and some of them have very high returns.  That&#x27;s VC investing.  There&#x27;s nothing scammy about it.",,gasull,,1668481567,2022-11-15 03:06:07 UTC,comment,33604749,33604262,,,
,,"From experience, that hasn’t been true.<p>I’ll give an example. Rdkit[0] went for years without being able to be released via pypi and could only be installed easily via conda[1]. Despite this, it thrived enough as a project that users got its postgresql extension to be part of AWS Aurora[2] in 2020, which means wide adoption before rdkit had managed to figured out how to be distributed by pypi in 2021.<p>There are open source projects like this all over the place, thriving outside the centralized repos.<p>[0] <a href=""https:&#x2F;&#x2F;rdkit.org"" rel=""nofollow"">https:&#x2F;&#x2F;rdkit.org</a><p>[1] <a href=""https:&#x2F;&#x2F;stackoverflow.com&#x2F;questions&#x2F;58199504&#x2F;how-to-install-a-package-rdkit-from-conda-with-pip"" rel=""nofollow"">https:&#x2F;&#x2F;stackoverflow.com&#x2F;questions&#x2F;58199504&#x2F;how-to-install-...</a><p>[2] <a href=""https:&#x2F;&#x2F;aws.amazon.com&#x2F;about-aws&#x2F;whats-new&#x2F;2020&#x2F;09&#x2F;amazon-aurora-postgresql-supports-rdkit-extension&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;aws.amazon.com&#x2F;about-aws&#x2F;whats-new&#x2F;2020&#x2F;09&#x2F;amazon-au...</a>",,cowsandmilk,,1668481555,2022-11-15 03:05:55 UTC,comment,33604748,33601838,,,
,,This is extremely interesting. Is there a good book you recommend on this topic?,,syntaxing,,1668486184,2022-11-15 04:23:04 UTC,comment,33605251,33605143,,,
,,TLDR: .io owned by bad people. .io bad.,,Aeolun,,1668486300,2022-11-15 04:25:00 UTC,comment,33605259,33605147,,,
,,"3.10 and 3.11 are not too far off, afaik there aren&#x27;t any incompatibilities. Would be interested to see the net diff on that update, methinks it was mostly just updating the pkg version and putting a new build hash in the manifest.",,whalesalad,,1668527868,2022-11-15 15:57:48 UTC,comment,33610777,33610701,,,
,,"&gt;FTX’s failings weren’t widely acknowledged. But critics weren’t dismissed as unbelievable, even absent strong evidence. Most of us just don’t give a shit.<p>Did you forget the HN thread about the initial leak?<p><a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=33464494"" rel=""nofollow"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=33464494</a>",,SilasX,,1668527866,2022-11-15 15:57:46 UTC,comment,33610776,33608637,,,
,,"In fact, though, given that for their first 15 years or so Tesla was willing to lose $10k+ per car, it seems likely to me that they actually delayed other car manufacturers from making more electric cars as those reasonable companies were unwilling to compete with someone willing to throw away that much money.",,ahahahahah,,1668527863,2022-11-15 15:57:43 UTC,comment,33610775,33610710,,,
,,&quot;Vast Majority of People Who Invest Inevitably Lose Money&quot;. Yep. That&#x27;s always held true. Speculators gonna speculate. Somehow the concept of cryptocurrency has been lost in all the scamming and speculating since 2015. If you just use cryptocurrency as a currency there&#x27;s no problem at all.<p>It&#x27;s the speculators with their completely off-chain normal finance hijinks that everyone gets upset and confused about. It&#x27;s a shame that&#x27;s what people think cryptocurrency is.,,superkuh,,1668527863,2022-11-15 15:57:43 UTC,comment,33610774,33610476,,,
,,"Many of us are quite familiar with the reliability of software, and have serious concerns about trusting it to make the right decisions in a complex real-world situation.",,macintux,,1668527862,2022-11-15 15:57:42 UTC,comment,33610772,33610363,,,
,,I mean this is generally true for stock pickers also.,,avgDev,,1668527855,2022-11-15 15:57:35 UTC,comment,33610770,33610476,,,
,,"I taught myself react the quick and dirty way, because I had to (company wanted to use it, and there were no one else willing and able to do it, or to teach me). It&#x27;s not that long ago, yet useEffect wasn&#x27;t even around then. I could probably make use of a book about it.<p>It also probably doesn&#x27;t help that I taught myself JavaScript the same way, at the same time.",,vintermann,,1668531559,2022-11-15 16:59:19 UTC,comment,33611768,33606935,,,
,,"Interesting A&#x2F;B test to see what produces maximum utility: dispersing funds to a wide range of organisations vs concentration of resources into a singular project?<p>I suppose with Bezos himself doing similarly to Scott, the only comparator we have would be the lightning rod that is Elon Musk. Hope someone is measuring outcomes here",,hunglee2,,1668531549,2022-11-15 16:59:09 UTC,comment,33611764,33611474,,,
,,"Honest question,how does this make the lives of humans better?",,pa7ch,,1668529903,2022-11-15 16:31:43 UTC,comment,33611324,33611102,,,
,,"Florida Surgeon General CV <a href=""https:&#x2F;&#x2F;www.uclahealth.org&#x2F;sites&#x2F;default&#x2F;files&#x2F;documents&#x2F;Joseph-Ladapo-CV.pdf"" rel=""nofollow"">https:&#x2F;&#x2F;www.uclahealth.org&#x2F;sites&#x2F;default&#x2F;files&#x2F;documents&#x2F;Jos...</a>",,OrvalWintermute,,1668481543,2022-11-15 03:05:43 UTC,comment,33604746,33599273,,,
,,"<i>&gt;I would be very, very surprised if the random guy using just a browser, no matter how many tabs were open, found a way to exhaust 8GB of RAM</i><p>LOL, that hilarious! I am an unashamed tab hoarder using Firefox, and regularly go over 24Gb just for Firefox.<p>I find it will still run but won&#x27;t scroll smoothly or switch between tabs instantly when I go over ~150 windows (each with at least 20-40 tabs).<p>Yes, I have a problem. No, I don&#x27;t care.<p>I can search tabs by typing &quot;% keyword&quot; in the URL bar.<p>Why should I ever need to close something I&#x27;m not finished with?<p>The PC has 64Gb RAM though, because I often run VMs as well.",,brokenmachine,,1668491386,2022-11-15 05:49:46 UTC,comment,33605774,33601672,,,
,,"This is not enough.<p>Add a middle layer between your bank and paypal.<p>Once you sync your bank account, Paypal can claw funds from your account for any reason it deems necessary.<p>Do not give them this access into your business&#x27;s main operating account. Bite the bullet and open a separate, standalone DDA with another bank (not the same bank, that won&#x27;t achieve its intended effect).",,IG_Semmelweiss,,1668491371,2022-11-15 05:49:31 UTC,comment,33605773,33603657,,,
,,"&gt; “Woke” has become a nebulous word used to define whatever bogeyman the author feels threatens their way of life.<p>I don&#x27;t think that is accurate. &quot;Woke&quot; still retains its original meaning of &quot;aware of racial discrimination,&quot; and its subsequent generalized meaning of &quot;aware of social inequalities.&quot; What happened was very similar to what happened with the word &quot;liberal,&quot; which also retains its original meaning, namely, &quot;tolerant,&quot; in that those threatened by equality or inexplicably opposed to awareness of inequality inscrutably use it as a pejorative. This doesn&#x27;t make a lot of sense because &quot;woke&quot; used pejoratively strongly signals, &quot;I am a racist and&#x2F;or sexist and&#x2F;or opposed to equality and&#x2F;or opposed to awareness of inequality.&quot;",,Maursault,,1668539810,2022-11-15 19:16:50 UTC,comment,33613607,33612601,,,
,,"I&#x27;m a Paramedic in Northern California and am VERY happy about this feature. Even in some of our SF Bay Area counties, we have a lot of windy mountain roads with <i>no cell service</i> at all. Our portable radios don&#x27;t even work up in the hills. To have an iPhone be able to send GPS location to the public safety access point is fabulous. Our dispatchers can at least drop a pin on a map and we can route to that location ourselves. This already happens in a lot of cases but the caller has cell service. We&#x27;ve been on multiple incidents up in the hills where people have reported that they had to drive several miles down the mountain before they were able to get any reception to make a 911 call.<p>This will save us a lot of time, and it will save lives. This is a game changing feature.",,jrnichols,,1668539800,2022-11-15 19:16:40 UTC,comment,33613604,33608671,,,
,,and....I Cancel....because fuck them.,,kderbyma,,1668539786,2022-11-15 19:16:26 UTC,comment,33613602,33611270,,,
,,The difference is that in all of those cases the money has been earned as the cost of work done. The non-profit&#x27;s employee is spending the money they earned for work done. This is different from the non-profit itself making the donation because that wouldn&#x27;t be part of the operating cost of the non-profit itself.,,dotnet00,,1668539796,2022-11-15 19:16:36 UTC,comment,33613603,33611966,,,
,,"None of this is exactly rocket surgery, but here’s the gist of what I try to do when I need to refer a client to someone in another market…<p>Try to understand their business. Every agent should be able to explain their niche within a market and their unique value proposition. This is a straightforward way to separate the professional agent from the “accidental” agent. Speaking candidly, there are a lot of people who fall into the business chasing dollars who have a very limited range of skills. Unfortunately, you can make it in a lot of markets on personality, even if your clients are getting utterly screwed on all the things that actually count, IE: pricing, overall market analysis, negotiating, understanding local regulations (zoning, water, environmental, etc).<p>Listen to how they describe their market. I was talking to a “top performer” in my market the other day who was still regurgitating the same story from a year ago about “low inventory” when in fact there’s more inventory at every price point than at any time in the past three years. I’m certainly if I had decided to challenge their statements that they would have had no idea how many properties are on the market and that have taken price cuts in the past 30 days. A lot of those top performers are really good at churning deals rather than actually serving their clients. And, they may do a lot of business because they are willing to work for a low commission: if they won’t even fight for their own commission, why should you believe they are going to work hard at the negotiating table for you?<p>Finally, find someone who communicates with you in the way and at the pace you want. If you find it difficult to talk with them and to express what you need &#x2F; get the info you need, it’s only going to get worse when you are in the middle of a transaction.<p>Hope that’s useful!",,poulsbohemian,,1668539771,2022-11-15 19:16:11 UTC,comment,33613600,33607304,,,
,,Hivemind is the meme terminology.<p>You might look up Jung&#x27;s &#x27;sychronicity&#x27;.,,artificialLimbs,,1668539777,2022-11-15 19:16:17 UTC,comment,33613601,33613169,,,
,,"Eh, it’s pretty hard to make a case that you don’t want stacked diff <i>sometimes</i>.<p>Obviously life is simpler if all your work is sufficiently non-intersecting that you can send separate diffs&#x2F;PRs and e.g. rebase them separately, but if you have Big Feature X and you still want small, single thesis diffs, where else do you turn?",,benreesman,,1668539817,2022-11-15 19:16:57 UTC,comment,33613608,33613413,,,
,,I read this about the NYSE in particular years ago.  I make no claims about overall ICE revenue.,,fallingknife,,1668519277,2022-11-15 13:34:37 UTC,comment,33608939,33604370,,,
,,"<a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=bglWCuCMSWc&amp;ab_channel=NotJustBikes"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=bglWCuCMSWc&amp;ab_channel=NotJu...</a><p>This feels like doubling down on something that&#x27;s not super effective.<p>The way to make traffic slower, is to make road lanes narrower. You can also add curves&#x2F;trees or overhangs to add shadows to the road, which breaks up the roadway and makes it harder to reason about from a distance.",,xracy,,1668473623,2022-11-15 00:53:43 UTC,comment,33603721,33600929,,,
,,Both Tesla and SpaceX could put every dollar of their marketing budget into Twitter ads and that still wouldn&#x27;t get it out of the $2B+&#x2F;year hole it is in.,,paxys,,1668473639,2022-11-15 00:53:59 UTC,comment,33603724,33603694,,,
,,"For those in the US considering purchasing the manufacturer warranty coverage (“bumper to bumper”), you can often purchase the same coverage from a different dealer from the one selling the car (whoever offers the best price).<p>Just call a dealers finance department and find out if they sell standalone warranty and get a quote (you may need to provide a sample VIN). Make sure they are quoting the official manufacturer warranty coverage (new car) vs some BS third party warranty.<p>If you do this in advance you can fight off the finance guy easily and (more often) get them to price match to keep your business. This method has saved me thousands.",,propogandist,,1668516394,2022-11-15 12:46:34 UTC,comment,33608460,33606617,,,
,,I dabbled in Japanese; you are not comparing the same thing.,,TeeMassive,,1668516454,2022-11-15 12:47:34 UTC,comment,33608469,33601729,,,
,,I think you may have meant to substitute ABCL for one of those clisps?,,tmtvl,,1668553154,2022-11-15 22:59:14 UTC,comment,33616404,33607248,,,
,,"GW was very much a result of the founders attempting to recreate all the good things (at least in their opinion) about Blizzard&#x27;s work environment without carrying over the bad things. They put a lot of thought into things like code ownership policies, schedules and even office floor plans.",,kevingadd,,1668550830,2022-11-15 22:20:30 UTC,comment,33615910,33615297,,,
,,"<a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=hzh7zvXZ_VA"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=hzh7zvXZ_VA</a>",,AmericanOP,,1668550835,2022-11-15 22:20:35 UTC,comment,33615912,33615840,,,
,,"&gt; Planned obsolescence through advertising is still planned obsolescence.<p>No, it&#x27;s not. It&#x27;s also a pretty elitist&#x2F;condescending view of the American people, as if they are passive victims incapable of discerning what&#x27;s good for them. Might as well do away with democracy while we&#x27;re at it.",,olalonde,,1668550864,2022-11-15 22:21:04 UTC,comment,33615916,33615613,,,
,,:D,,amateurInAll,,1668550866,2022-11-15 22:21:06 UTC,comment,33615917,33613857,,,
,,Lots of assets have either no floor on their value or an incredibly low floor.  Is it actually a comfort if you invest in gold that it can only lose 98% of its value instead of 100%?  Are those two outcomes meaningfully different to you?<p>Companies can go bankrupt and zero the value of their stock.  Bonds can be defaulted on.  Are you out there evangelizing how stocks and bonds are bad investments?,,aetherson,,1668550868,2022-11-15 22:21:08 UTC,comment,33615918,33615357,,,
